guidao_station_name,guidao_line_name,guidao_jingdu_str,guidao_weidu_str,gongjiao_station_name,gongjiao_line_name,gongjiao_jingdu_str,gongjiao_weidu_str,range_str,distance,guidao_line_begin,guidao_line_end,gongjiao_line_begin,gongjiao_line_end,guidao_station_orderid,gongjiao_station_orderid
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,119路,116.43565499991904,39.97802100038287,"[1, 49]",48.1636,西直门,东直门,地铁芍药居站,安定门,13,0
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,119路,116.43565499991904,39.97802100038287,"[1, 49]",48.1636,西直门,东直门,地铁芍药居站,安定门,13,0
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,547路,116.43621999972616,39.97726600011875,"[1, 49]",48.7083,西直门,东直门,和平西桥,地铁善各庄站,13,3
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,547路,116.43621999972616,39.97726600011875,"[1, 49]",48.7083,西直门,东直门,和平西桥,地铁善各庄站,13,3
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,942路快车,116.43562500026746,39.977981999729266,"[1, 49]",45.6792,西直门,东直门,茶坞火车站,东直门外,13,33
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,942路快车,116.43562500026746,39.977981999729266,"[1, 49]",45.6792,西直门,东直门,茶坞火车站,东直门外,13,33
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,专22路环线高峰,116.435645999857,39.977977999829974,"[1, 49]",44.3581,西直门,东直门,望和桥,望和桥,13,2
芍药居,地铁13号线,116.435914,39.977636,地铁芍药居站,专22路环线高峰,116.435645999857,39.977977999829974,"[1, 49]",44.3581,西直门,东直门,望和桥,望和桥,13,2
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,310路,116.18686600003885,39.85779100012897,"[1, 49]",44.2675,张郭庄,善各庄,丰台辛庄,晓月苑公交场站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,310路,116.18686600003885,39.85779100012897,"[1, 49]",44.2675,张郭庄,善各庄,丰台辛庄,晓月苑公交场站,0,7
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,310路,116.18679699966022,39.85815999996285,"[1, 49]",34.4534,张郭庄,善各庄,晓月苑公交场站,丰台辛庄,0,11
张郭庄,地铁14号线,116.187193,39.8581,地铁张郭庄站,310路,116.18679699966022,39.85815999996285,"[1, 49]",34.4534,张郭庄,善各庄,晓月苑公交场站,丰台辛庄,0,11
